2315	157	374	265
2320	155	369	263
2325	157	374	270
2330	145	380	259
2335	142	378	223
2340	161	387	216
2345	187	388	223
2350	202	401	233
2355	212	401	232
2360	191	385	217
2365	182	369	204
2370	191	379	202
2375	204	392	180
2380	210	385	138
2385	237	375	87
2390	293	385	90
2395	337	390	121
2400	356	375	103
2405	352	381	123
2410	332	386	138
2415	315	376	215
2420	288	372	242
2425	253	379	258
2430	203	366	258
2435	142	331	216
2440	128	299	207
